id;IMC;Idade;CLBR;Perda
1;18;30.00;59,39%;
2;18;30.25;59,50%;
3;18;30.50;59,58%;
4;18;30.75;59,63%;
5;18;31.00;59,65%;
6;18;31.25;59,63%;
7;18;31.50;59,58%;
8;18;31.75;59,49%;
9;18;32.00;59,37%;
10;18;32.25;59,21%;
11;18;32.50;59,01%;
12;18;32.75;58,77%;
13;18;33.00;58,49%;
14;18;33.25;58,18%;
15;18;33.50;57,81%;
16;18;33.75;57,41%;
17;18;34.00;56,96%;
18;18;34.25;56,47%;
19;18;34.50;55,93%;
20;18;34.75;55,34%;
21;18;35.00;54,70%;
22;18;35.25;54,02%;
23;18;35.50;53,28%;
24;18;35.75;52,49%;
25;18;36.00;51,64%;
26;18;36.25;50,74%;
27;18;36.50;49,79%;
28;18;36.75;48,79%;
29;18;37.00;47,72%;
30;18;37.25;46,61%;
31;18;37.50;45,44%;
32;18;37.75;44,21%;
33;18;38.00;42,94%;
34;18;38.25;41,61%;
35;18;38.50;40,24%;
36;18;38.75;38,82%;
37;18;39.00;37,35%;
38;18;39.25;35,85%;
39;18;39.50;34,31%;
40;18;39.75;32,75%;
41;18;40.00;31,16%;
42;18;40.25;29,55%;
43;18;40.50;27,94%;
44;18;40.75;26,32%;
45;18;41.00;24,70%;
46;18;41.25;23,09%;
47;18;41.50;21,51%;
48;18;41.75;19,95%;
49;18;42.00;18,43%;
50;18;42.25;16,95%;
51;18;42.50;15,53%;
52;18;42.75;14,15%;
53;18;43.00;12,84%;
54;19;30.00;59%;
55;19;30.25;59,11%;
56;19;30.50;59,19%;
57;19;30.75;59,24%;
58;19;31.00;59,25%;
59;19;31.25;59,24%;
60;19;31.50;59,18%;
61;19;31.75;59,10%;
62;19;32.00;58,97%;
63;19;32.25;58,81%;
64;19;32.50;58,61%;
65;19;32.75;58,38%;
66;19;33.00;58,10%;
67;19;33.25;57,78%;
68;19;33.50;57,42%;
69;19;33.75;57,01%;
70;19;34.00;56,56%;
71;19;34.25;56,07%;
72;19;34.50;55,53%;
73;19;34.75;54,94%;
74;19;35.00;54,30%;
75;19;35.25;53,61%;
76;19;35.50;52,87%;
77;19;35.75;52,08%;
78;19;36.00;51,23%;
79;19;36.25;50,34%;
80;19;36.50;49,38%;
81;19;36.75;48,38%;
82;19;37.00;47,32%;
83;19;37.25;46,20%;
84;19;37.50;45,03%;
85;19;37.75;43,81%;
86;19;38.00;42,54%;
87;19;38.25;41,21%;
88;19;38.50;39,84%;
89;19;38.75;38,43%;
90;19;39.00;36,97%;
91;19;39.25;35,47%;
92;19;39.50;33,94%;
93;19;39.75;32,39%;
94;19;40.00;30,81%;
95;19;40.25;29,21%;
96;19;40.50;27,60%;
97;19;40.75;25,99%;
98;19;41.00;24,39%;
99;19;41.25;22,80%;
100;19;41.50;21,23%;
101;19;41.75;19,68%;
102;19;42.00;18,18%;
103;19;42.25;16,72%;
104;19;42.50;15,30%;
105;19;42.75;13,95%;
106;19;43.00;12,65%;
107;20;30.00;58,60%;
108;20;30.25;58,72%;
109;20;30.50;58,80%;
110;20;30.75;58,85%;
111;20;31.00;58,86%;
112;20;31.25;58,84%;
113;20;31.50;58,79%;
114;20;31.75;58,70%;
115;20;32.00;58,58%;
116;20;32.25;58,42%;
117;20;32.50;58,22%;
118;20;32.75;57,98%;
119;20;33.00;57,70%;
120;20;33.25;57,38%;
121;20;33.50;57,02%;
122;20;33.75;56,61%;
123;20;34.00;56,16%;
124;20;34.25;55,67%;
125;20;34.50;55,12%;
126;20;34.75;54,53%;
127;20;35.00;53,89%;
128;20;35.25;53,21%;
129;20;35.50;52,46%;
130;20;35.75;51,67%;
131;20;36.00;50,83%;
132;20;36.25;49,93%;
133;20;36.50;48,98%;
134;20;36.75;47,97%;
135;20;37.00;46,91%;
136;20;37.25;45,80%;
137;20;37.50;44,63%;
138;20;37.75;43,41%;
139;20;38.00;42,14%;
140;20;38.25;40,82%;
141;20;38.50;39,45%;
142;20;38.75;38,04%;
143;20;39.00;36,59%;
144;20;39.25;35,10%;
145;20;39.50;33,57%;
146;20;39.75;32,02%;
147;20;40.00;30,45%;
148;20;40.25;28,87%;
149;20;40.50;27,27%;
150;20;40.75;25,67%;
151;20;41.00;24,08%;
152;20;41.25;22,50%;
153;20;41.50;20,95%;
154;20;41.75;19,42%;
155;20;42.00;17,93%;
156;20;42.25;16,48%;
157;20;42.50;15,08%;
158;20;42.75;13,74%;
159;20;43.00;12,47%;
160;21;30.00;58,21%;
161;21;30.25;58,32%;
162;21;30.50;58,40%;
163;21;30.75;58,45%;
164;21;31.00;58,47%;
165;21;31.25;58,45%;
166;21;31.50;58,40%;
167;21;31.75;58,31%;
168;21;32.00;58,18%;
169;21;32.25;58,02%;
170;21;32.50;57,82%;
171;21;32.75;57,58%;
172;21;33.00;57,30%;
173;21;33.25;56,98%;
174;21;33.50;56,62%;
175;21;33.75;56,21%;
176;21;34.00;55,76%;
177;21;34.25;55,27%;
178;21;34.50;54,72%;
179;21;34.75;54,13%;
180;21;35.00;53,49%;
181;21;35.25;52,80%;
182;21;35.50;52,06%;
183;21;35.75;51,27%;
184;21;36.00;50,42%;
185;21;36.25;49,52%;
186;21;36.50;48,57%;
187;21;36.75;47,56%;
188;21;37.00;46,50%;
189;21;37.25;45,39%;
190;21;37.50;44,22%;
191;21;37.75;43,01%;
192;21;38.00;41,74%;
193;21;38.25;40,42%;
194;21;38.50;39,06%;
195;21;38.75;37,65%;
196;21;39.00;36,20%;
197;21;39.25;34,72%;
198;21;39.50;33,21%;
199;21;39.75;31,67%;
200;21;40.00;30,10%;
201;21;40.25;28,53%;
202;21;40.50;26,94%;
203;21;40.75;25,36%;
204;21;41.00;23,78%;
205;21;41.25;22,21%;
206;21;41.50;20,67%;
207;21;41.75;19,16%;
208;21;42.00;17,68%;
209;21;42.25;16,25%;
210;21;42.50;14,87%;
211;21;42.75;13,54%;
212;21;43.00;12,28%;
213;22;30.00;57,81%;
214;22;30.25;57,92%;
215;22;30.50;58,01%;
216;22;30.75;58,06%;
217;22;31.00;58,07%;
218;22;31.25;58,05%;
219;22;31.50;58%;
220;22;31.75;57,91%;
221;22;32.00;57,79%;
222;22;32.25;57,63%;
223;22;32.50;57,42%;
224;22;32.75;57,19%;
225;22;33.00;56,91%;
226;22;33.25;56,58%;
227;22;33.50;56,22%;
228;22;33.75;55,81%;
229;22;34.00;55,36%;
230;22;34.25;54,86%;
231;22;34.50;54,32%;
232;22;34.75;53,73%;
233;22;35.00;53,08%;
234;22;35.25;52,39%;
235;22;35.50;51,65%;
236;22;35.75;50,86%;
237;22;36.00;50,01%;
238;22;36.25;49,11%;
239;22;36.50;48,16%;
240;22;36.75;47,16%;
241;22;37.00;46,10%;
242;22;37.25;44,99%;
243;22;37.50;43,82%;
244;22;37.75;42,61%;
245;22;38.00;41,34%;
246;22;38.25;40,03%;
247;22;38.50;38,67%;
248;22;38.75;37,27%;
249;22;39.00;35,82%;
250;22;39.25;34,35%;
251;22;39.50;32,84%;
252;22;39.75;31,31%;
253;22;40.00;29,75%;
254;22;40.25;28,19%;
255;22;40.50;26,61%;
256;22;40.75;25,04%;
257;22;41.00;23,48%;
258;22;41.25;21,92%;
259;22;41.50;20,40%;
260;22;41.75;18,90%;
261;22;42.00;17,44%;
262;22;42.25;16,02%;
263;22;42.50;14,65%;
264;22;42.75;13,35%;
265;22;43.00;12,10%;
266;23;30.00;57,41%;
267;23;30.25;57,53%;
268;23;30.50;57,61%;
269;23;30.75;57,66%;
270;23;31.00;57,67%;
271;23;31.25;57,66%;
272;23;31.50;57,60%;
273;23;31.75;57,51%;
274;23;32.00;57,39%;
275;23;32.25;57,23%;
276;23;32.50;57,03%;
277;23;32.75;56,79%;
278;23;33.00;56,51%;
279;23;33.25;56,18%;
280;23;33.50;55,82%;
281;23;33.75;55,41%;
282;23;34.00;54,96%;
283;23;34.25;54,46%;
284;23;34.50;53,91%;
285;23;34.75;53,32%;
286;23;35.00;52,68%;
287;23;35.25;51,99%;
288;23;35.50;51,24%;
289;23;35.75;50,45%;
290;23;36.00;49,60%;
291;23;36.25;48,71%;
292;23;36.50;47,75%;
293;23;36.75;46,75%;
294;23;37.00;45,69%;
295;23;37.25;44,58%;
296;23;37.50;43,42%;
297;23;37.75;42,21%;
298;23;38.00;40,94%;
299;23;38.25;39,63%;
300;23;38.50;38,28%;
301;23;38.75;36,88%;
302;23;39.00;35,45%;
303;23;39.25;33,98%;
304;23;39.50;32,48%;
305;23;39.75;30,95%;
306;23;40.00;29,41%;
307;23;40.25;27,85%;
